formula,mpid,spacegroup.symbol,nature of band gap,predicted value
CaSnS3,mp-866811,Pnma,0,0
MgSiO3,mp-642216,P2_1/c,0,0
BaSnO3,mp-1178513,Imma,1,0
MgSiO3,mp-1020361,P2/c,1,1
MgSiO3,mp-4321,C2/c,0,0
TiMnO3,mp-19376,R3c,0,0
NbAgO3,mp-1220387,P4/mbm,1,0
BiSbO3,mp-755382,R-3,0,0
MgSiO3,mp-644879,Pbcn,1,0
KCuCl3,mp-27450,P2_1/c,0,0
TeHO3,mp-625630,Pna2_1,0,0
NaCuF3,mp-17869,P-1,0,0
TlCdCl3,mp-28218,Pnma,0,0
MnSeO3,mp-22224,Pnma,0,0
NdGaO3,mp-3196,Pnma,0,0
CsSrBr3,mp-998433,Cmcm,1,1
EuCO3,mp-554518,Pnma,0,0
VGaO3,mp-755580,Pnma,0,0
CaTeO3,mp-17008,P2_1,0,0
AlBiO3,mp-23080,Pm-3m,0,0
NaClO3,mp-555726,P2_13,0,0
BaBiSe3,mp-27365,P2_12_12_1,0,0
HfPbO3,mp-22734,Pbam,1,0
LuGaO3,mp-755342,P6_3/mmc,0,0
RbCrCl3,mp-568887,C2/m,0,0
CsSnF3,mp-1105915,P2_1/c,0,0
LiNbO3,mp-675069,P1,1,0
LaSmO3,mp-778450,Pna2_1,0,0
MgMnO3,mp-770581,Pnma,0,0
HoBO3,mp-752713,Cmcm,0,0
CaCO3,mp-3205,Pmmn,0,0
LaRhO3,mp-5163,Pnma,0,0
NdBO3,mp-7238,Pnma,1,0
RbCaI3,mp-998325,Cm,0,0
CuSe3Br,mp-28741,Pmna,0,0
HoBO3,mp-850193,P-1,1,0
YBiO3,mp-768221,R3c,0,0
KVO3,mp-18815,Pbcm,0,0
GdBO3,mp-1224628,Ama2,0,0
NbHO3,mp-626528,P1,0,0
AlSBr3,mp-1079481,P-3m1,0,0
LaFeO3,mp-22590,Pnma,0,0
CaTeO3,mp-560097,P2_1/c,1,0
CaVO3,mp-22608,Pnma,0,0
CsVBr3,mp-23038,P6_3/mmc,0,0
NbBr3O,mp-606393,P-42_1m,0,0
BaZrSe3,mp-998427,Pnma,1,1
MgPS3,mp-675651,C2/m,0,0
PPbS3,mp-20199,P2_1/c,0,0
LiFeF3,mp-776027,P4_2/n,0,0
LuScO3,mp-776593,Pnma,1,1
CsNiF3,mp-611601,P6_3/mmc,0,1
CsBeF3,mp-1017555,Pm-3m,0,0
TlGeBr3,mp-998153,Cm,1,0
KTaO3,mp-3614,Pm-3m,0,0
SrHfO3,mp-3721,I4/mcm,0,0
NaNiF3,mp-1078237,Cmcm,0,0
CsPS3,mp-504838,Immm,0,0
LuGaO3,mp-768505,P6_3cm,0,0
BaSbTe3,mp-18291,P2_12_12_1,0,0
SrHfO3,mp-4551,Pm-3m,0,0
CsCuBr3,mp-27336,C222_1,0,0
MgSiO3,mp-5026,Pbcn,1,1
AgIO3,mp-849271,Pnma,0,0
TaTlSe3,mp-12027,Pnma,0,0
EuPSe3,mp-20742,P2_1/c,0,0
MnSnO3,mp-20569,R-3,0,0
TlBS3,mp-28809,P2_1/c,0,0
VOF3,mp-760178,P2_1/c,0,0
YAlO3,mp-7964,P6_3/mmc,0,0
LiFeF3,mp-777888,R3,0,0
VOF3,mp-556026,P2_1/c,0,0
LiVF3,mp-778509,P2_13,0,0
KGeBr3,mp-998412,Cm,1,0
KNbO3,mp-935811,Pm-3m,0,0
VOF3,mp-759983,P2_1/c,0,0
KNbO3,mp-5246,Amm2,0,0
YSeO3,mp-769404,P2_1/c,0,0
NdInO3,mp-755138,Pnma,1,1
MgSO3,mp-769322,P2_1/c,1,0
AgSbO3,mp-867583,C2,0,0
TaCuS3,mp-3102,Pnma,0,0
CaGeO3,mp-776086,P-1,1,0
BaSiO3,mp-12958,R-3m,0,0
PCl3O,mp-27277,Pna2_1,1,0
BaSeO3,mp-6989,P2_1/m,1,0
CsSiI3,mp-1147745,R3m,1,1
LiSbO3,mp-770932,C2/m,0,0
YHoO3,mp-768889,P6_3cm,0,0
GePdS3,mp-541785,C2/m,0,0
MnSnO3,mp-691106,R3c,1,0
MnSiO3,mp-647680,P-1,0,0
BaClO3,mp-1182337,P1,0,0
SnPSe3,mp-5706,P2_1/c,0,0
RbMgF3,mp-8402,Pm-3m,0,0
ZnSiO3,mp-562182,C2/c,0,0
KMgF3,mp-3448,Pm-3m,0,0
CaSiO3,mp-5096,Imma,1,1
VHgO3,mp-29188,P-1,0,0
VOF3,mp-761122,Pc,1,0
MnInO3,mp-1193780,P-3c1,0,0
KMnF3,mp-558046,Pnma,0,1
LaIO3,mp-1080184,C2/m,1,0
BaCO3,mp-4559,R3m,0,0
NaPO3,mp-4734,P2_1/c,0,0
LaAlO3,mp-2920,R-3c,0,0
AlInSe3,mp-862787,P6_1,0,0
PbSO3,mp-20507,Pnma,0,0
KAuI3,mp-31045,P2_1/c,0,0
ZnAgF3,mp-998537,R-3,1,0
ErAlO3,mp-1184150,Pm-3m,0,0
RbEuCl3,mp-1206801,Pm-3m,1,0
VHO3,mp-625407,P1,0,0
DySeO3,mp-769393,P2_1/c,0,0
CdInBr3,mp-505222,Pnma,0,0
YSbO3,mvc-14740,P6_3/mmc,0,0
LiNbO3,mp-776108,Pbcm,0,0
LiFeF3,mp-755575,Pnma,0,0
KCaF3,mp-5926,Pnma,0,1
RbGeCl3,mp-27369,P2_1/m,0,0
MgSiO3,mp-4391,Cmcm,1,1
CsCdCl3,mp-568544,Pm-3m,0,0
KIO3,mp-552729,R3m,1,1
SmHoO3,mp-755717,Pnma,1,1
AgAsO3,mp-1178563,R-3,1,0
MnTlF3,mp-998762,Pm-3m,0,0
VCl3O,mp-22938,Pnma,0,0
TlHgF3,mp-998710,P1,0,0
HfBeO3,mp-1184563,Pm-3m,0,0
NaCO3,mp-1188793,P2_1/c,0,0
HoLuO3,mp-770472,Pnma,1,1
YbCO3,mp-755213,Pnma,0,0
TlHgF3,mp-998758,Pbam,1,0
NaZnF3,mp-3795,Pnma,1,0
LaAlO3,mp-5304,Pm-3m,0,0
CsFeF3,mp-555302,P6_3/mmc,1,0
CsFeBr3,mp-1079847,P6_3/mmc,0,0
BaCeO3,mp-5663,Pm-3m,0,0
CdGeO3,mp-7588,I4_1/a,0,0
NaNbO3,mp-559354,Cmcm,1,0
CdGeO3,mp-1016903,Pm-3m,0,0
TeHO3,mp-625913,Pc,0,0
FeGeO3,mp-22334,C2/c,0,0
NdMnO3,mp-20852,Pnma,1,0
MoHO3,mp-1221516,C2,0,0
BaPbO3,mp-22230,Imma,0,0
LiMnF3,mp-752938,R-3c,0,0
LiAgF3,mp-760151,P6_122,0,0
YFeO3,mvc-11229,Pm-3m,0,0
SmFeO3,mp-20243,Pnma,1,0
DyAlO3,mp-756630,Pnma,1,0
RbPbBr3,mp-998176,Cm,1,1
RbVF3,mp-556424,Pm-3m,0,0
